"Category","URL","Name","Status","Expected","Redirect","TimeMs","ContentType"
"TourneyPublic-Path","https://nekotab.app/dc-2026/participants/team/1/","Team record pk=1","301","200 or 404","https://dc-2026.nekotab.app/participants/team/1/","235","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/participants/adjudicator/1/","Adj record pk=1","301","200 or 404","https://dc-2026.nekotab.app/participants/adjudicator/1/","237","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/standings/current-standings/","Current team standings","301","200","https://dc-2026.nekotab.app/standings/current-standings/","237","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/standings/team/","Team tab","301","200","https://dc-2026.nekotab.app/standings/team/","237","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/standings/speaker/","Speaker tab","301","200","https://dc-2026.nekotab.app/standings/speaker/","234","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/standings/replies/","Reply tab","301","200","https://dc-2026.nekotab.app/standings/replies/","237","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/standings/adjudicators/","Adj tab","301","200","https://dc-2026.nekotab.app/standings/adjudicators/","237","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/standings/diversity/","Diversity stats","301","200","https://dc-2026.nekotab.app/standings/diversity/","236","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/break/","Break index","301","200","https://dc-2026.nekotab.app/break/","234","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/break/adjudicators/","Breaking adjs","301","200","https://dc-2026.nekotab.app/break/adjudicators/","239","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/feedback/progress/","Feedback progress","301","200","https://dc-2026.nekotab.app/feedback/progress/","237","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/checkins/status/people/","Check-in status","301","200","https://dc-2026.nekotab.app/checkins/status/people/","237","text/html; charset=utf-8"
"TourneyPublic-Path","https://nekotab.app/dc-2026/registration/","Registration landing","404","200",,"271","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/","Tournament homepage [sub]","200","200",,"1046","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/schedule/","Public schedule [sub]","403","200",,"373","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/draw/","Current round draw [sub]","403","200",,"1063","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/draw/round/1/","Draw for round 1 [sub]","403","200",,"982","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/draw/sides/","Side allocations [sub]","403","200",,"983","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/results/","Public results index [sub]","403","200",,"993","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/results/round/1/","Results for round 1 [sub]","403","200",,"999","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/motions/","Released motions [sub]","403","200",,"1045","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/motions/statistics/","Motion statistics [sub]","403","200",,"1033","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/participants/list/","Participant list [sub]","403","200",,"968","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/participants/institutions/","Institution list [sub]","403","200",,"990","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/participants/team/1/","Team record pk=1 [sub]","404","200 or 404",,"1029","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/participants/adjudicator/1/","Adj record pk=1 [sub]","404","200 or 404",,"333","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/standings/current-standings/","Current team standings [sub]","403","200",,"272","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/standings/team/","Team tab [sub]","403","200",,"984","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/standings/speaker/","Speaker tab [sub]","403","200",,"1028","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/standings/replies/","Reply tab [sub]","403","200",,"1059","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/standings/adjudicators/","Adj tab [sub]","403","200",,"1235","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/standings/diversity/","Diversity stats [sub]","403","200",,"1067","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/break/","Break index [sub]","403","200",,"1043","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/break/adjudicators/","Breaking adjs [sub]","403","200",,"1065","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/feedback/progress/","Feedback progress [sub]","403","200",,"1001","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/checkins/status/people/","Check-in status [sub]","403","200",,"985","text/html; charset=utf-8"
"TourneyPublic-Sub","https://dc-2026.nekotab.app/registration/","Registration landing [sub]","404","200",,"982","text/html; charset=utf-8"
"CongressPublic","https://nekotab.app/dc-2026/congress/standings/","Congress pub standings","301","200","https://dc-2026.nekotab.app/congress/standings/","240","text/html; charset=utf-8"
"CongressPublic-Sub","https://dc-2026.nekotab.app/congress/standings/","Congress pub standings [sub]","200","200",,"315","text/html; charset=utf-8"
"CongressPublic","https://nekotab.app/dc-2026/congress/student/session/1/","Student session view","301","200 or 404","https://dc-2026.nekotab.app/congress/student/session/1/","235","text/html; charset=utf-8"
"CongressPublic-Sub","https://dc-2026.nekotab.app/congress/student/session/1/","Student session view [sub]","200","200 or 404",,"297","text/html; charset=utf-8"
"IEPublic","https://nekotab.app/dc-2026/ie/","Public IE dashboard","301","200","https://dc-2026.nekotab.app/ie/","237","text/html; charset=utf-8"
"IEPublic-Sub","https://dc-2026.nekotab.app/ie/","Public IE dashboard [sub]","403","200",,"526","text/html; charset=utf-8"
"IEPublic","https://nekotab.app/dc-2026/ie/1/standings/","IE event standings","301","200 or 404","https://dc-2026.nekotab.app/ie/1/standings/","236","text/html; charset=utf-8"
"IEPublic-Sub","https://dc-2026.nekotab.app/ie/1/standings/","IE event standings [sub]","403","200 or 404",,"991","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/","Admin home","301","200 or 302","https://dc-2026.nekotab.app/admin/","238","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/configure/","Tournament config","301","200 or 302","https://dc-2026.nekotab.app/admin/configure/","239","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/options/","Options index","301","200 or 302","https://dc-2026.nekotab.app/admin/options/","238","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/participants/list/","Admin participant list","301","200 or 302","https://dc-2026.nekotab.app/admin/participants/list/","234","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/participants/institutions/","Admin institutions","301","200 or 302","https://dc-2026.nekotab.app/admin/participants/institutions/","235","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/participants/code-names/","Code names","301","200 or 302","https://dc-2026.nekotab.app/admin/participants/code-names/","236","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/participants/eligibility/","Speaker eligibility","301","200 or 302","https://dc-2026.nekotab.app/admin/participants/eligibility/","236","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/participants/team/1/","Admin team record","301","200 or 302","https://dc-2026.nekotab.app/admin/participants/team/1/","233","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/participants/adjudicator/1/","Admin adj record","301","200 or 302","https://dc-2026.nekotab.app/admin/participants/adjudicator/1/","235","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/import/simple/","Simple importer","301","200 or 302","https://dc-2026.nekotab.app/admin/import/simple/","234","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/import/export/","Export page","301","200 or 302","https://dc-2026.nekotab.app/admin/import/export/","234","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/privateurls/","Private URLs list","301","200 or 302","https://dc-2026.nekotab.app/admin/privateurls/","236","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/availability/round/1/","Availability for R1","301","200 or 302","https://dc-2026.nekotab.app/admin/availability/round/1/","241","text/html; charset=utf-8"
"Admin-Path","https://nekotab.app/dc-2026/admin/availability/round/1/adjudicators/","Adj availability","301","200 or 302","https://dc-2026.nekotab.app/admin/availability/round/1/adjudicators/","235","text/html; charset=utf-8"
